epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,235.867,0.94242,0.88597,0.93539,0.85295,0.88452,0.92062,0.69507,0.94333,0.66342,0.95841,0.00050465,0.00050465,0.00050465
43,240.915,0.96919,0.88333,0.94079,0.851,0.86424,0.91711,0.69286,0.9265,0.68088,0.95966,0.000504129,0.000504129,0.000504129
44,247.296,0.94907,0.84024,0.94034,0.91637,0.88454,0.94323,0.7199,0.90352,0.61593,0.95414,0.000503608,0.000503608,0.000503608
45,252.159,0.95051,0.82656,0.95107,0.86825,0.87233,0.9263,0.70111,0.92582,0.66101,0.95609,0.000503087,0.000503087,0.000503087
46,257.149,0.95914,0.86958,0.9429,0.83774,0.83005,0.91062,0.68875,0.92251,0.75384,0.95473,0.000502567,0.000502567,0.000502567
47,263.383,0.93798,0.8082,0.93232,0.87724,0.87341,0.93133,0.71087,0.91181,0.63885,0.95259,0.000502046,0.000502046,0.000502046
48,346.75,0.95151,0.82601,0.93795,0.91197,0.91289,0.95598,0.73237,0.91421,0.60203,0.9525,0.000501525,0.000501525,0.000501525
49,351.623,0.95521,0.82651,0.94213,0.88121,0.83447,0.90514,0.67858,0.9433,0.65271,0.96865,0.000501004,0.000501004,0.000501004
50,279.345,0.90616,0.75659,0.92511,0.91577,0.90181,0.96244,0.73864,0.90478,0.60292,0.95237,0.000500484,0.000500484,0.000500484
51,284.291,0.92235,0.75927,0.93894,0.90992,0.89315,0.95625,0.73645,0.88955,0.60126,0.94716,0.000499963,0.000499963,0.000499963
52,289.244,0.93823,0.75798,0.93005,0.92821,0.89332,0.95951,0.74042,0.89122,0.59003,0.94619,0.000499442,0.000499442,0.000499442
53,295.512,0.92321,0.74026,0.92683,0.92838,0.90889,0.95756,0.7214,0.95459,0.60368,0.96188,0.000498922,0.000498922,0.000498922
54,300.497,0.92922,0.73639,0.93598,0.92133,0.92724,0.96521,0.74289,0.89369,0.57102,0.95254,0.000498401,0.000498401,0.000498401
55,305.721,0.94292,0.74549,0.94394,0.94441,0.91208,0.96505,0.74219,0.89931,0.5799,0.95289,0.00049788,0.00049788,0.00049788
56,312.007,0.93693,0.7261,0.94266,0.94142,0.92816,0.96492,0.73493,0.93241,0.57115,0.96682,0.000497359,0.000497359,0.000497359
57,316.999,0.93861,0.71809,0.93104,0.93921,0.90297,0.96125,0.73391,0.90401,0.56511,0.95114,0.000496839,0.000496839,0.000496839
58,321.914,0.93528,0.71665,0.93387,0.92927,0.92317,0.96623,0.74312,0.897,0.55452,0.95099,0.000496318,0.000496318,0.000496318
59,406.671,0.92367,0.70501,0.93339,0.92203,0.92356,0.96153,0.73419,0.91666,0.55575,0.9557,0.000495797,0.000495797,0.000495797
60,333.092,0.94611,0.72985,0.93629,0.9317,0.92991,0.96723,0.73175,0.93246,0.54011,0.96606,0.000495276,0.000495276,0.000495276
61,337.932,0.93404,0.72146,0.94241,0.92999,0.90635,0.96424,0.73551,0.9144,0.56997,0.9571,0.000494756,0.000494756,0.000494756
62,344.14,0.91032,0.67253,0.93131,0.92585,0.91906,0.96683,0.72714,0.93113,0.56388,0.96392,0.000494235,0.000494235,0.000494235
63,349.074,0.93811,0.7009,0.93239,0.94503,0.9144,0.97284,0.74891,0.90256,0.53767,0.95707,0.000493714,0.000493714,0.000493714
64,354.065,0.90552,0.6801,0.9317,0.95815,0.93757,0.97658,0.75414,0.88438,0.51403,0.94084,0.000493193,0.000493193,0.000493193
